time_ns,ax,ay,az,wx,wy,wz
1765227755762726396,-7.716,-3.708,-4.826,-0.000267,-0.001994,-0.000844
1765227755788245897,-7.742,-3.721,-4.834,-0.001298,0.001046,-0.000905
1765227755812580354,-7.691,-3.719,-4.857,8.3e-05,-0.000437,-0.001269
1765227755837698646,-7.732,-3.733,-4.82,-0.000869,-6.3e-05,0.00037
1765227755863387356,-7.749,-3.715,-4.822,0.000871,0.000598,-0.000799
1765227755887675980,-7.733,-3.721,-4.812,-0.001121,-0.001693,-2.3e-05
1765227755913462232,-7.747,-3.72,-4.837,0.001496,0.001215,-0.000317
1765227755937484439,-7.712,-3.732,-4.824,0.000237,-0.000241,0.000872
1765227755962995357,-7.729,-3.735,-4.815,0.00082,-0.000846,0.000124
1765227755988208566,-7.719,-3.747,-4.832,-0.000326,-0.000793,0.000684
1765227756013394983,-7.72,-3.733,-4.827,0.000503,-0.000756,-7.7e-05
1765227756038389358,-7.74,-3.706,-4.816,0.00074,0.000265,-0.001011
1765227756063241442,-7.762,-3.726,-4.801,0.000604,-0.001662,3e-06
1765227756087999316,-7.723,-3.712,-4.827,0.000196,-0.00087,-0.000731
1765227756113325567,-7.726,-3.71,-4.807,-0.000819,-0.001264,-5.6e-05
1765227756139314319,-7.742,-3.728,-4.825,0.0001,0.000958,-0.000426
1765227756163206151,-7.712,-3.726,-4.807,-0.000149,-0.000398,-0.00057
1765227756188253860,-7.716,-3.738,-4.818,-0.000678,-0.000375,-0.000918
1765227756213603069,-7.714,-3.712,-4.808,-0.002209,-0.000556,-0.001224
1765227756238187777,-7.728,-3.724,-4.804,0.001006,0.00113,0.000767
1765227756263149027,-7.721,-3.716,-4.829,0.001449,0.001511,0.00053
1765227756288027319,-7.737,-3.694,-4.825,0.000677,-0.00126,0.001228
1765227756313556653,-7.758,-3.682,-4.813,0.00052,-0.000296,-0.000944
1765227756338528654,-7.742,-3.715,-4.806,-0.000266,-0.000692,-0.000288
1765227756362821653,-7.723,-3.734,-4.835,-0.001053,-0.001231,-0.000943
1765227756388988613,-7.73,-3.723,-4.84,-0.000207,-0.00022,-0.001585
1765227756412563486,-7.728,-3.729,-4.866,0.00029,-0.000378,0.000103
1765227756437536778,-7.714,-3.72,-4.806,0.001328,0.000687,-0.000769
1765227756462429403,-7.742,-3.734,-4.844,-0.000512,0.000212,0.000525
1765227756487290528,-7.744,-3.713,-4.8,-0.001005,-0.000801,-0.001078
1765227756512242945,-7.735,-3.702,-4.81,0.001253,0.000243,-0.000142
1765227756537298737,-7.727,-3.696,-4.827,-0.000675,-0.001008,-5.8e-05
1765227756562279654,-7.721,-3.735,-4.823,-0.001373,0.000536,-0.000462
1765227756587149279,-7.732,-3.711,-4.8,-0.000525,-0.001411,-0.00133
1765227756612253238,-7.742,-3.706,-4.812,-0.000391,-0.002363,-0.002439
1765227756637158613,-7.744,-3.717,-4.787,0.000529,-0.005118,-0.006441
1765227756664129284,-7.749,-3.721,-4.777,-0.007988,-0.001859,-0.004882
1765227756688340283,-7.746,-3.71,-4.821,-0.00478,-0.001684,-0.004116
1765227756713410575,-7.756,-3.697,-4.834,-0.007471,-0.006337,-0.00431
1765227756738891784,-7.854,-3.735,-4.816,-0.01298,-0.00533,-0.015982
1765227756763296658,-7.736,-3.733,-4.827,-0.013386,-0.005999,-0.00551
1765227756788451492,-7.71,-3.743,-4.818,-0.005684,-0.002881,-0.002664
1765227756813472868,-7.681,-3.756,-4.883,-0.007457,-0.003761,-0.003813
1765227756838000034,-7.704,-3.728,-4.837,-0.004938,-0.001304,-0.005045
1765227756863160034,-7.72,-3.714,-4.886,-0.003455,-0.002323,-0.000195
1765227756887732826,-7.677,-3.757,-4.857,-0.000233,0.001492,0.002105
1765227756913294285,-7.703,-3.746,-4.869,0.001373,0.000531,0.00197
1765227756938293577,-7.713,-3.702,-4.83,0.000735,-0.000923,0.000652
1765227756963646953,-7.717,-3.725,-4.788,0.003954,-0.000211,0.001788
1765227756988133911,-7.736,-3.747,-4.791,0.002627,0.002511,0.005422
1765227757012637910,-7.73,-3.732,-4.847,0.001066,0.000929,0.002183
1765227757038147578,-7.749,-3.689,-4.835,-0.002848,-0.002592,-0.00129
1765227757062637619,-7.773,-3.686,-4.832,-0.003068,-0.002236,-0.003104
1765227757087596911,-7.731,-3.713,-4.804,0.001752,0.002261,0.001827
